formule_w;cip13;cis
W146;3400930186121;65661049
W169;3400930230275;61941356
W171;3400930245408;65975217
W244;3400930204214;65804796
W278;3400930214299;68944209
W282;3400930212868;61006893
W350;3400930246641;61129376
W358;3400930209578;63542128
W366;3400930209714;65152536
W374;3400930217436;61087315
W436;3400930210024;62353402
W462;3400930233962;62639663
W464;3400930204276;62439552
W472;3400930204351;61347389
W582;3400930204313;63416738
W724;3400930224885;66254622
W770;3400930206539;60165234
W771;3400930226292;60217542
W788;3400930210161;67019424
W796;3400930207345;65787005
W876;3400930236734;66511344
