date;formation;ville;places
12/03/2026;Les conseils essentiels dans la prise de médicaments, la Chronobiothérapie;Agence Saint-Brieuc - ST BRIEUC (22);17
12/03/2026;Vaccination en officine (Geste vaccinal);Hôtel Le circuit Au Mans - LE MANS (72);8
12/03/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Hôtel Plaza POITIERS - CHASSENEUIL DU POITOU (86);16
12/03/2026;Aromathérapie, développer une spécialisation au comptoir;Agence Angoulême - ANGOULEME (SOYAUX) (16);15
13/03/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Agence Saintes - SAINTES (17);12
13/03/2026;Les conseils essentiels dans la prise de médicaments, la Chronobiothérapie;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);19
16/03/2026;Soins de support en cancérologie;Agence Angers - ANGERS (TRELAZE) (49);9
16/03/2026;Aromathérapie, développer une spécialisation au comptoir;Agence Saintes - SAINTES (17);14
16/03/2026;Aromathérapie, développer une spécialisation au comptoir Classe virtuelle;Classe virtuelle;23
17/03/2026;Gemmothérapie, développer une spécialisation au comptoir;Agence Aizenay - AIZENAY (85);14
17/03/2026;Patient Diabétique à l’officine;Pole Européen Du Cheval - Yvré-l'Évêque (72);14
17/03/2026;Intégrer dans son conseil la Micronutrition Classe virtuelle;Classe virtuelle;17
19/03/2026;Communication au comptoir, améliorer sa posture commerciale;Agence LANDIVISIAU - Landivisiau (29);19
20/03/2026;Communication au comptoir, améliorer sa posture commerciale;Agence Rennes - RENNES (SAINT-GREGOIRE) (35);18
24/03/2026;Formation Focus : Repérer et aborder la violence faite aux femmes;Classe virtuelle;24
26/03/2026;Patient Diabétique à l’officine;Agence Angers - ANGERS (TRELAZE) (49);17
26/03/2026;Patient Diabétique à l’officine;Agence Aizenay - AIZENAY (85);15
26/03/2026;Anticancéreux par voie orale: prise en charge à l'officine;Hôtel Le circuit Au Mans - LE MANS (72);16
26/03/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Dinan le Port - DINAN LE PORT (LANVALLAY) (22);9
26/03/2026;Dermatologie à l’officine, Expertise;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);14
27/03/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Agence Saint-Brieuc - ST BRIEUC (22);13
27/03/2026;Soins de support en cancérologie;Agence Aizenay - AIZENAY (85);16
27/03/2026;Infertilité, désir de grossesse, femme enceinte à l’officine;Agence Angoulême - ANGOULEME (SOYAUX) (16);19
30/03/2026;Réussir ses entretiens patients à l’officine;Agence Saint-Brieuc - ST BRIEUC (22);21
30/03/2026;Patient Diabétique à l’officine;Océania Nantes Aéroport - NANTES AEROPORT (BOUGUENAIS) (44);19
30/03/2026;Perfusion, incontinence, stomies. Savoir facturer les forfaits Perfadom;Agence Châteauroux - CHATEAUROUX (MONTIERCHAUME) (36);6
30/03/2026;Réussir ses entretiens patients à l’officine;Agence Saintes - SAINTES (17);22
31/03/2026;Réussir ses entretiens patients à l’officine;Agence Rennes - RENNES (SAINT-GREGOIRE) (35);19
31/03/2026;Communication au comptoir, la gestion des tensions et des conflits;Agence LANDIVISIAU - Landivisiau (29);16
31/03/2026;Santé de la femme, endométriose, promotion de la santé sexuelle et reproductive à l’officine;Agence Aizenay - AIZENAY (85);11
31/03/2026;Plaies et pansements;Novotel Bourges - LE SUBDRAY (18);9
31/03/2026;Réussir ses entretiens patients à l’officine;Agence Angoulême - ANGOULEME (SOYAUX) (16);24
