Code Acte;Libellé;Tarif
HD1;Honoraire de dispensation à 100%;1,02 € TTC
HD2;Honoraire de dispensation à 15%;1,02 € TTC
HD4;Honoraire de dispensation à 30%;1,02 € TTC
HD7;Honoraire de dispensation à 65%;1,02 € TTC
HG1;Honoraire de dispensation Grand Conditionnement à 100%;2,76 € TTC
HG2;Honoraire de dispensation Grand Conditionnement à 15%;2,76 € TTC
HG4;Honoraire de dispensation Grand Conditionnement à 30%;2,76 € TTC
HG7;Honoraire de dispensation Grand Conditionnement à 65%;2,76 € TTC
HC;Honoraire de dispensation Complexe à 100%;0,31 € TTC
HDR;Honoraire de dispensation médicament remboursable;0,61 € TTC
HDA;Honoraire de dispensation en lien avec âge;1,58 € TTC
HDE;Honoraire de dispensation médicaments spécifiques;3,57 € TTC
CPH;Copie d'ordonnance;
MPI;Majoration pharmacie îles;Majoration Drom
PG7;Pharmacie Spécialité Générique à 65%;Selon spécialité
PH1;Pharmacie 100%;Selon spécialité
PH2;Pharmacie 15%;Selon spécialité
PH4;Pharmacie 30%;Selon spécialité
PH7;Pharmacie 65%;Selon spécialité
PHN;Pharmacie non remboursable;Selon spécialité
PHU;Médicament avec une Autorisation Temporaire d'Utilisation (ATU);Selon spécialité
PMR;Préparation magistrale remboursable;Variable
PPI;Préparation Pharmaceutique Individualisée (allergènes);Variable
UPH;Urgence pharmacie;2 à 20 € TTC selon créneau
IGM;Mifegyne IVG;Variable
IGP;Prostaglandines IVG;Variable
TLM;Code traceur : Téléconsultation;Code traceur
TPH;Télésoin;Code traceur
TRD;TROD Angine;10 ou 15 € TTC
PEE;TROD Cystite;10 ou 15 € TTC
VGP;Vaccination gripe pharmacien;7,50 € TTC
RVA;Vaccination autres du calendrier vaccinal (Rappel Vaccinaux Adultes);7,50 ou 9,60 € TTC
PRR;Code traceur : afin de valider la bonne vérification du justificatif pour la délivrance d'AGLP-1;0,01 € TTC
INJ;Acte d'injection du vaccin Covid19 (en officine);Variable
KGP;Rémunération Pharmacien Covid19 (approvisionnement vaccins);Variable
MSQ;Délivrance masques (chirurgicaux et FFP2);4,22 € à 22,16 € selon type et quantité
PMR;Prélèvement en vue d'un test RT-PCR - Supervision autotests Abrogé depuis le 1er mars 2025;Abrogé
OTO;Délivrance des autotests Abrogé depuis le 1er mars 2025;4,35 € à 34,60 € (abrogé 01/03/2025)
DTG;Délivrance des tests antigéniques Abrogé depuis le 1er mars 2025;5 € (abrogé 01/03/2025)
