Code;Libellé;URL fichier labo Firebase;URL logo Firebase
3401041333824;FREESTYLE OPTIUM NEO KIT;;
3401048327376;FREESTYLE PAPILL VISION KIT;;
3401077775650;LANCET FREESTYLE PAPILLON 200;;
3401097024363;FREESTYLE PAPILL EASY BAND 100;;
3401099724896;FREESTYLE OPTIUM BANDELET 100;;
3578835505337;ARKOFLUIDE AMP ARTICUL 10X20;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FCAPTEUR%20PROTECT.pdf?alt=media&token=30fbf108-7af1-4b80-a435-1101d3013fe5;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FLOGOS%20PARTENAIRES%2FCapteur%20Protect.jpeg?alt=media&token=8831ee08-8235-454d-9570-1ad66319613b
3578835503913;ARKOFLUIDE AMP BONNE NUIT 20;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FCAPTEUR%20PROTECT.pdf?alt=media&token=30fbf108-7af1-4b80-a435-1101d3013fe5;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FLOGOS%20PARTENAIRES%2FCapteur%20Protect.jpeg?alt=media&token=8831ee08-8235-454d-9570-1ad66319613b
3578835500165;ARKOFLUIDE AMP CONF DIGES10X20;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FCAPTEUR%20PROTECT.pdf?alt=media&token=30fbf108-7af1-4b80-a435-1101d3013fe5;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FLOGOS%20PARTENAIRES%2FCapteur%20Protect.jpeg?alt=media&token=8831ee08-8235-454d-9570-1ad66319613b
3578835502176;ARKOFLUIDE AMP CONF DIGES10X30;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FCAPTEUR%20PROTECT.pdf?alt=media&token=30fbf108-7af1-4b80-a435-1101d3013fe5;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FLOGOS%20PARTENAIRES%2FCapteur%20Protect.jpeg?alt=media&token=8831ee08-8235-454d-9570-1ad66319613b
3578835502213;ARKOFLUIDE AMP DESMOD 10X20+10;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FCAPTEUR%20PROTECT.pdf?alt=media&token=30fbf108-7af1-4b80-a435-1101d3013fe5;https://firebasestorage.googleapis.com/v0/b/offibox-prod.firebasestorage.app/o/SANTRALIA-CATALOGUE%202025%2FLOGOS%20PARTENAIRES%2FCapteur%20Protect.jpeg?alt=media&token=8831ee08-8235-454d-9570-1ad66319613b
