Code LPP;Libellé;Tarif;Prix unitaire réglementé;Date début validité;Date fin validité
01011100028;EMULSION HYALURONATE SODIUM 0,18 POUR CENT HORUS,NEOVIS TOTAL MULTI,FLACON 15 ML;1.28;0.0;01/01/2023;06/07/2023
2876161;D01.1;7.0;0.0;01/05/2016;06/07/2023
1141487;PERFUSION, INSULINE, INSULET, OMNIPOD, FORFAIT JOURNALIER POD;1.02;0.0;01/01/2021;06/07/2023
1111782;B01.5;6.66;0.0;09/12/2006;03/08/2009
1220293;ESCARRES,SURMATELAS AIR MOTORISE,WINNCARE,AXTAIR ONE PLUS,FORFAIT LOCATION HEBDO;1.09;0.0;07/07/2023;20/07/2023
1199558;E04.21;1.52;0.0;20/11/2003;12/03/2004
1144586;A03.3111;5.2;0.0;06/07/2023;16/09/2011
1161024;D03.07;8.45;0.0;01/06/2015;06/07/2023
1196270;D01.22;8.08;0.0;30/09/2008;06/07/2023
1202266;NUTRITION ENTERALE, FORFAIT HEBDOMADAIRE SANS POMPE OU PAR GRAVITE;6.04;0.0;01/11/2016;06/07/2023
1199297;BOUCLE SEMI-FERMEE, INSULET, OMNIPOD 5, FORFAIT DE FORMAT TECH INITIALE;3.91;0.0;20/05/2024;11/11/2025
1115047;D03.11;1.09;0.0;01/07/2018;06/07/2023
1123414;D04.31;1.74;0.0;01/04/2018;06/07/2023
1153480;B06.211;0.0;0.0;30/07/2007;01/05/2016
1133690;D03.06;1.17;0.0;01/07/2018;06/07/2023
1163030;D04.31;2.5;0.0;05/05/2008;06/07/2023
1176480;D01.2;1.12;0.0;18/09/2017;07/01/2018
1213896;ESCARRES, COUSSIN EN MOUSSE VISCOELASTIQUE, CLASSE II, PHARMA OUEST, PHARMA FORM;1.02;0.0;20/05/2013;04/09/2013
1188684;NUT. ORALE, MEL POLY HYPERPROT. HYPERENERG, NUTRISENS, BISCUITS NUTRISENS;1.58;0.0;08/09/2003;01/12/2005
2876181;OXYGENOTHERAPIE A COURT TERME, OCT 3.00;4.45;0.0;01/07/2018;06/07/2023
1126660;DISPOSITIF ASSISTANCE CIRCULAT, LOC MAINTENANCE, MENSUEL, BERLIN, EXCOR;5.98;0.0;20/09/2012;06/07/2023
3485825;OXYGENOTHERAPIE A LONG TERME, OXYGENE LIQUIDE, OLT 2.00;1.05;0.0;01/07/2018;06/07/2023
1143470;OXYGENOTHERAPIE A LONG TERME EN POSTE FIXE, OLT 1.00;4.74;0.0;12/03/2015;06/07/2023
1171471;DIGESTIF, 50 POCHES DE RECUEIL VIDABLES, 50 CLAMPS ET 50 FILTRES;5.64;0.0;18/09/2017;07/01/2018
