Nom_pharmacie;Adresse;Code_postal;Ville;Telephone
F97010673823112022;92;97160;97117;0590235565
F240014217;;24660;24312;0553456510
F97010636515121993;19;97119;97134;
F97010640701122023;;97139;97101;0590208457
F970112371;2;97100;97105;0590810824
F97010704126062000;;97133;97701;0590276661
;;;;
F97010350321111996;10;97100;97105;
F750000523;185;75674;75114;0144123500
F97010615915022023;27;97130;97107;0590863721
F17001419529122025;65;17200;17306;0546385668
F07000360301062012;91;07130;07281;0475816990
F970107249;;97122;97103;0590976262
F18000355001122019;3;18330;18165;0248516609
R10000001500268;75;97139;97101;0590834577
F16001097101052004;11;16130;16150;0545359332
F63000835701062023;206;63700;63338;
F40001007016012022;;40500;40282;0558760129
F920027083;;92390;92078;0147992020
F97010703320062005;3;97133;97701;0590276182
R10100000155835;11;44570;44210;
F97010714024042006;;97180;97128;0590881177
F97011012815022016;;97170;97118;
F97010645614082009;7;97139;97101;0590827629
F75003025631051985;41;75017;75117;0146273260
F13002668501062023;244;13008;13208;0491775964
F640000402;;64300;64430;0559697070
F75002488727051943;45;75014;75114;
F75002403611031982;33;75014;75114;0143223811
F75002188315122025;71;75012;75112;
F75003318515022019;67;75018;75118;
F75001072028061988;30;75004;75104;
F75002441630101990;109;75014;75114;
F75003243501072025;1;75018;75118;
F75001587702012024;6;75009;75109;0148746518
F75003658408102012;234;75020;75120;
F75002875515052017;37;75116;75116;0145006066
F75002841701042007;197;75016;75116;0146516408
F75002785618082025;122;75016;75116;0142880486
F28000222113012025;;28000;28085;0237340458
F440001972;55;44342;44020;0251829300
F920000122;13;92000;92050;0146691313
F13003235205112020;;13600;13028;0442830181
F300000064;1;30701;30334;0466637102
F75002758301102009;52;75016;75116;0142882758
F750100166;27;75679;75114;0158414141
F860000223;2;86021;86194;0549444444
F75002877101032004;33;75116;75116;0147271486
F75001471401042019;133;75008;75108;0147203925
F130001225;207;13658;13103;0490449144
F93000595405052025;1;93150;93007;
F06001831412072001;5;06300;06088;0493551507
F75001473024061997;5;75008;75108;0142653975
F75003256701102010;64;75018;75118;0146060489
F750000341;7;75005;75105;0146691313
F75001974701052016;41;75011;75111;0147005736
F540002698;;54511;54547;0383153030
F750100109;26;75571;75112;0144737475
F75001003528062023;2;75004;75104;0142784556
F750100091;184;75571;75112;0149282000
F31001454301012024;40;31000;31555;0561624793
F750052474;42;75011;75111;
F69002005201081996;14;69004;69384;0478287362
F920026309;34;92200;92051;0141439600
F750007064;;75017;75117;0145745857
F750100232;46;75877;75118;0140258080
F750100125;47;75651;75113;0142160000
F350000741;2;35000;35238;0299284321
F940018989;6;94360;94015;
F760000158;1;76000;76540;0232888990
F920028024;31;92700;92025;0142427293
F77000946220041983;60;77720;77317;
F45000454401012020;9;45420;45040;0238316231
F25001279601042016;2;25300;25462;0381390548
F56001986101022023;;56340;56168;0297523111
R10000001503020;;77390;77534;
F77000606201022019;;77190;77152;
F74000324901082014;141;74930;74211;0450850613
F77000604709101987;;77190;77152;
R10000001503021;;77000;77288;
F77001152618102010;13;77140;77431;
F78000519530092019;50;78390;78073;0130450334
F330059387;9;33700;33281;0556162351
F770700011;;77170;77127;0164422109
F770000446;6;77100;77284;0164353838
F77000379601102004;28;77890;77027;0164299031
F06001699511112018;;06200;06088;0493298524
F35001923822042025;3;35400;35288;
F77001106201072018;5;77680;77390;
F23000319620081979;4;23120;23257;0555660024
F92001998101102021;18;92500;92063;0147490136
F78001489003032020;35;78000;78646;
F78001184716102017;5;78610;78486;0134849758
R10100000791277;135;75017;75117;
F38000550406122022;100;38260;38174;0474546188
F930706239;11;93205;93066;0142356140
F600014880;32;60000;60057;
F92001134301092022;11;92290;92019;
F78000926227101989;1;78600;78358;
F78001384301072024;52;78500;78586;
F92002155720062007;3;92410;92077;0147504310
R10000001530793;19;91140;91661;0169592310
F780000311;10;78303;78498;0139274050
F780021218;34;78130;78440;
F560002024;;56275;56162;0297826201
F38000565201022023;4;38690;38182;0476558062
F78001389201022017;;78500;78586;0139135491
F78001599604121997;;78450;78674;0130563575
F78001253006052010;12;78560;78502;
F78000684701082025;1;78340;78165;
F78000812401072012;42;78440;78267;0130936044
F330780313;35;33600;33318;0557896920
F95000750002052022;6;95610;95218;0130375966
F78000871001042017;;78760;78321;0134894404
F78000611012102015;37;78400;78146;
F78000547601072014;26;78530;78117;0139563558
F780021002;26;78410;78029;0130959696
F92001982501052011;48;92500;92063;0147515595
F78001581427112018;11;78110;78650;
F91000823401072013;;91450;91225;
F91001446301032023;19;91320;91689;
F17001379108022017;163;17000;17300;
F91001126105102022;60;91290;91457;
F91000718630091988;16;91080;91228;
F93001345301022026;4;93340;93062;0143810137
F91000753301022017;40;91210;91201;0169037430
F91000735003012022;8;91560;91191;0169487418
F600011985;;60000;60057;0344100500
F91000671720022012;20;91380;91161;
F16001059102052024;9;16000;16015;0545925744
F91000575001102007;;91070;91086;
F91001064401122009;48;91490;91405;0164988097
F91000578401042017;;91070;91086;0160864829
F70000134002042012;94;70600;70122;0384676407
F78001609301042020;30;78640;78683;0134896157
F930022603;10;93370;93047;0149847790
F77000621103012020;259;77190;77152;0164396359
F91000845731121996;21;91000;91228;0160773385
F75001729501042006;6;75010;75110;0140370515
F91000862225072022;204;91000;91228;
F94001063001112017;23;94340;94042;0148832080
F94001556302092024;20;94190;94078;
F92001686216092019;15;92360;92048;
F92001596327112018;12;92300;92044;0147575736
F78000644104022019;5;78150;78158;
F94000742001012019;118;94220;94018;0143681832
F91000660008112012;2;91160;91136;0164488484
F92001846229101987;171;92200;92051;
F92000926301052018;315;92270;92009;0142421662
F92001521127062005;54;92130;92040;0146387519
F92002011227022001;4;92210;92064;0147717360
F750049074;137;75015;75115;0145673545
F92001269706022006;82;92110;92024;0147372248
F94000943414012020;38;94260;89183;0146660522
R10100000247675;12;94410;94069;
F44002401629012018;2;44115;44071;0240549135
F66078958702092019;23;66000;66136;0468344424
F920300886;128;92500;92063;0826968686
F95000808601062015;108;95130;95252;
F92001977506052019;147;92500;92063;0147320855
F410000442;2;41400;41051;0254711800
R10000001542677;26;69007;69123;
F91000983601092000;89;91160;91345;0164488113
R10100000301482;19;59700;59378;
F34079293601012016;15;34500;34032;0467302334
F75002135411082021;59;75012;75112;
F92001921328011997;17;92800;92062;0147752701
F920100039;100;92118;92024;0140875000
F780300422;14;78190;78621;0186867878
F78000521111042016;17;78390;78073;
F920026572;;92200;92051;
R10100000612282;1;92400;92026;
R10100000312778;10;92800;92062;
F780300323;7;78009;78646;0826303333
R10100000801032;20;92800;92062;
F840000327;23;84000;84007;0490813133
F83000552615012018;25;83390;83049;0494486513
F93000463502011986;1;93300;93001;
F50001105121022013;2;50400;50218;0233500110
F75001319530042017;18;75006;75106;0143260129
F07000385002112023;4;07330;07322;
F83000973402112020;;83440;83124;0494769408
F93001518515062014;102;93400;93070;
F93000807301042009;34;93700;93029;0148320572
F93000788501082020;17;93700;93029;0148320538
F75003452201062020;7;75019;75119;
F98050018517072017;;97600;97611;
F06001586401112017;5;06000;06088;0493886637
F93001490701112020;40;93400;93070;
F60000415403032025;6;60440;60446;
R10100000769793;1;92140;92023;
R10100000050232;1;95017;95127;
F060780558;11;06141;06157;0493245500
F94000707301122020;72;94500;94017;0147060795
F93000910528021997;50;93260;93045;
R10100000096264;99;69007;69123;
F220026694;2;22120;22081;
F940100027;51;94010;94028;0149812111
R10000001527415;52;94120;94033;
F31001619119042021;37;31240;31561;0561743576
F41000680301052012;1;41300;41256;0254833520
F94000920201102020;2;94120;94033;0148750872
F93000558213052019;6;93170;93006;0143639777
F760030908;3;76170;76384;0232841414
F13001166103012022;69;13100;13001;0442260931
F93001232301032017;87;93130;93053;0148446682
F94001393101042025;46;94410;94069;0143682033
F77000994201032005;;77186;77337;0160052831
F94001061401032004;14;94340;94042;0142838505
F81000493710122019;38;81100;81065;
F77000579101082020;4;77120;77131;
F13003253518122025;34;13130;13014;0442854328
F75002132101012020;2;75012;75112;0143077525
F94000786704012010;13;94566;94021;
F94000668715112018;;94500;94017;0148806418
F59001045017102015;78;59620;59033;0327673544
F94001659528092012;101;94400;94081;
F94000913717101989;73;94120;94033;
F06001281223042019;2;06600;06004;0494341340
F94000715610012010;106;94500;94017;0147067207
F78000477617062019;3;78260;78005;0139110406
F29001117001052017;14;29200;29019;0298033433
F100010545;3;10120;10333;0351650800
F75002568615052008;211;75015;75115;0148286792
F94000890708012007;18;94120;94033;0148754184
F35001943621032022;40;35000;35238;0299673188
F94000946716031996;21;94260;94034;0146682532
F92001404001112015;37;92400;92026;
F94001466505062023;73;94440;94075;
F94001486303121996;68;94800;94076;0146780633
F570028456;1;57000;57463;
F94001507612112024;28;94800;94076;
F94001029101072019;8;94200;94041;0146720051
F94000765101041996;23;94430;94019;0145760722
F88000205020122021;44;88600;88078;0329505029
F060021805;13;06000;06088;0493166868
F290000173;1;29207;29103;0298218000
F94001439212072021;7;94320;94073;0148538302
R10100000545076;154;92120;92049;
F95000506618102010;157;95100;95018;
F95000993629101999;7;95630;95392;
F95000433309051988;9;95580;95014;
F95000743501092016;8;95880;95210;0139646334
F31001042601102020;63;31520;31446;0561733157
F95000565209031992;2;95870;95063;
F95000511601092020;1;95100;95018;
F78000578101102001;18;78170;78126;0139693443
F95000686601022024;80;95330;95199;0139917920
F95000583512062023;1;95870;95063;0130766991
F95001356516031987;170;95400;95680;
F95000935701102022;;95290;95313;0134695285
F95000443229101996;156;95100;95018;0139825503
F33003992622072024;2670;33430;33046;0556254352
F95000983702072007;2;95670;95371;0134723260
F950000307;69;95107;95018;0134232425
F69001172101102014;15;69210;69171;0474269297
F75003341701082020;117;75018;75118;
R10100000115985;1;38300;65396;
F29001231905012009;1;29800;29237;0298204454
F910020593;41;91090;91340;0160760922
F75002235201052013;37;75013;75113;0147071497
F92001030314062023;95;92100;92012;0146202470
F53003060001112006;13;53000;53130;0243537059
F910000330;;91152;91223;0169925252
R10000001525856;33;95000;95450;
R10100000182967;17;78520;78335;
F91000617021012019;110;91640;91111;
F33004753101011984;29;33950;33236;0556601300
F83000756315022013;501;83250;83071;0494665917
F95000740129082005;23;95880;95210;0134126123
F94001051507062004;190;94200;94041;0146715324
F600012066;3;60100;60175;0344551260
F56002129701032024;;56860;56243;0297424652
R10100000467933;8;95420;95355;
F26000794328012008;1;26200;26198;0475073030
F06001157401072011;1;06400;06029;0493458737
F92001892615062000;48;92350;92060;0143500465
F78001344728071999;1;78610;78562;
R10100000143768;3;75004;75104;
F75001581007092020;54;75009;75109;0148742106
F69001221601052013;16;69110;69202;0478591830
F130051980;300;13821;13070;0483434849
F92001954431122020;106;92500;92063;0147492736
F78000722509012006;;78700;78172;0139195480
F77001149205102022;4;77140;77431;0164282524
F85002212001112024;;85190;85003;0251347373
F75003290629091999;30;75018;75118;0146068298
F940000664;39;94805;94076;0142114211
R10000001524975;3;77176;77445;
F94001432701022020;;94320;94073;0146863964
F780020863;16;78000;78646;0139508868
F930025176;125;93009;93008;
F78001506105111999;12;78000;78646;0139547932
F770019032;2;77600;77237;0161106110
F78000531011042022;190;78410;78090;0130955610
F680020328;40;68020;68066;
F93001483201022009;7;93200;93066;0148277119
F92001096401072018;41;92340;92014;0146630795
F95001162701042006;3;95210;95555;0139899611
F65000393218112014;65;65000;65440;0562933933
R10000000100186;56;78000;78646;
F92000819001122018;69;92160;92002;0147028602
F27001862504102024;50;27700;27016;0232540231
F78000681301102023;;78340;78165;0130552501
F81000506601052017;10;81100;81065;0563351436
F92002118515052019;14;92170;92075;0146421841
R10100000676272;2;93400;93070;
F91000625301072021;7;91800;91114;0160461312
F940021751;51;94010;94028;
F750100273;4;75970;75120;0156017000
F78001566519052025;13;78000;78646;
F97046466501112022;193;97440;97409;0262460005
R10100000310194;;66680;66038;0468364688
F75002503301042016;15;75014;75114;0143275019
F75001481315102012;63;75008;75108;0147664232
F75002638724072019;60;75015;75115;
F75002780701072012;4;75016;75116;0142887951
F970302170;23;97306;97302;0594295812
F94001324631012016;20;94100;94068;0148830043
F64001114401042021;38;64000;64445;0559026894
F77001159115062023;14;77400;77438;0160350077
F75002215401122019;19;75012;75112;
F75002658512102015;360;75015;75115;0145547983
F78001256317012022;26;78940;78513;0134864581
F78001229001022016;99;78300;78498;
F91001314314042008;104;91600;91589;0169963128
F91001379629112025;6;91270;91657;0169425965
R10100000006513;;37390;37172;
F06001119401082022;2;06400;06029;0493390547
F78000766211062018;15;78680;78217;0130901155
F34079390001052018;17;34140;34157;0467438002
F95000535501042025;33;95430;95039;
F77000734201092006;7;77400;77243;0164300047
F75003050430092024;1;75017;75117;0147634899
F750150237;125;75020;75120;0144643353
F750057010;125;75020;75120;
F75002222001072007;96;75012;75112;0143435510
F13002867329062012;;13880;13112;0442879224
F92001088112062014;219;92100;92012;0146211203
F77000861306052019;2;77000;77288;
F94001666015102017;174;94400;94081;
F37000639701122015;1;37270;37156;0247508029
F750100075;1;75475;75110;0142494949
F35002146501092022;6;35600;35236;0299713542
R10100000444684;17;77400;77243;0160319924
F970100418;;97116;97121;0590805959
F91001072702072012;;91230;91421;
F34000937204022009;;34560;34213;0467789444
F690793765;17;69007;69387;0472802536
F75002353315122025;75;75013;75113;
F920100021;157;92140;92023;0145374444
F92001336418052015;26;92700;92025;
F93000675421052018;93;93140;93010;0148470188
F95001404317062019;9;95600;95203;0134061000
F76001877001042017;2;76790;76390;0235270492
F77000368909092003;7;77600;77058;
F92001091521072025;280;92100;92012;
F77000771410121984;;77185;77258;
F77000817501012018;;77100;77284;0164330563
F910022748;3;91280;91573;0969369004
F13001398026102024;18;13200;13004;0490967569
F75003287201062007;11;75018;75118;0146060150
F75003685704112019;117;75020;75120;
F06001694601092006;69;06100;06088;0493842096
F75001827731032025;196;75010;75110;0142393100
F75003370601082009;1;75018;75118;0142231787
F91000643602072018;45;91680;91115;0164900711
F78001179712121994;;78230;78481;
F94001174501052012;9;94130;94052;0148730176
F750100042;2;75475;75110;0149956565
F78001004701012023;5;78160;78372;0139587575
F78000617730062023;204;78400;78146;
F75001342702122019;18;75006;75106;0143267007
F45000580626082024;296;45400;45147;0238739064
F93001303230082001;8;93380;93059;0148212074
F29001243401061985;27;29000;29232;0298905393
F91001087501032018;72;91230;91421;
F17001334601092021;21;17000;17300;0546426058
F77000886001042019;22;77290;77294;0164271096
F92000817415102008;72;92160;92002;0146661643
F36000236431032020;4;36130;36063;0254341921
F91000847304032019;16;91000;91228;0160784102
R10000001538613;18;78550;78310;
R10100000312093;4;92650;92012;
F510002447;;51092;51454;0326787878
F75002715320062001;245;75015;75115;
F93001024401052024;196;93100;93048;
R10000001524912;13;92138;92040;
F94001149701012025;16;94700;94046;0143767075
F140000027;4;14107;14366;0231613131
R10100000513862;;27100;27701;
F59003230601092021;104;59139;59648;0320971380
F62000981118012021;137;62220;62215;0321370407
F78002473327082018;31;78150;78158;
F75002777301032020;77;75016;75116;0146512392
F69001301601022020;3;69160;69244;0478341677
F94001272701092017;8;94420;94059;0145765898
F77000534601102019;60;77410;77118;
F920100047;178;92701;92025;0147606162
F28000328601042014;;28320;28168;0237909013
F77000639301072022;5;77184;77169;0160055240
F91001082630112020;110;91230;91421;
F94001449101092018;25;94320;94073;0146800729
F37000794015102018;103;37000;37261;0247614006
F750300915;21;75017;75117;0148882525
F77000918116012017;;77130;77305;0160963800
R10100000177028;31;92400;92026;
F94001244601042025;33;94170;94058;0143244154
F34079552503042023;;34410;34299;
F94001442601022025;19;94320;94073;
F440054278;24;44702;44114;0969397530
F510004302;45;51092;51454;0326787878
F750100208;149;75743;75115;0144494000
F91001846413072022;1;91510;91318;0160828603
F17001132405122022;11;17100;17164;0546936641
