Libellé;CIP13
ANASTROZOLE ACCORD 1 mg, comprimé pelliculé, ANASTROZOLE : 1,00 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés;3400949497294
ANASTROZOLE ACCORD 1 mg, comprimé pelliculé, ANASTROZOLE : 1,00 mg pour un comprimé, comprimé pelliculé, plaquette de 90 comprimés;3400949497706
BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur, DIPROPIONATE DE BÉCLOMÉTASONE : 800 microgrammes pour 2 ml de suspension, suspension pour inhalation par nébuliseur, 20 récipient unidose de 2 ml suremballées/surpochées par plaquette de 5 récipients unidoses;3400936963504
FENOFIBRATE TEVA 100 mg, gélule, FÉNOFIBRATE : 100,00 mg pour une gélule, gélule, plaquette de 30 gélules;3400936145825
TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée, CHLORHYDRATE DE TRAMADOL : 200 mg pour un comprimé, comprimé à libération prolongée, plaquette de 30 comprimés;3400939725192
CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion, CABAZITAXEL : 60 mg pour un flacon de 1,5 mL de solution à dilue, solution à diluer et  solvant pour solution pour perfusion, 1 flacon de 1,5 ml - 1 flacon en verre de 4,5 ml;3400955074199
"VILDAGLIPTINE/METFORMINE SANDOZ 50 mg/1000 mg, comprimé pelliculé, CHLORHYDRATE DE METFORMINE : 1000 mg pour un comprimé ; VILDAGLIPTINE : 50 mg pour un comprimé, comprimé pelliculé, plaquette de 60 comprimés";3400930116791
FAMOTIDINE EG 20 mg, comprimé pelliculé, FAMOTIDINE : 20 mg pour un comprimé, comprimé pelliculé, plaquette de 30 comprimés;3400935510259
ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé, ATORVASTATINE CALCIQUE, comprimé pelliculé, plaquette de 28 comprimés;3400949444137
ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé, ATORVASTATINE CALCIQUE, comprimé pelliculé, plaquette de 90 comprimés;3400949444946
"AFTAGEL, gel buccal, SULFATE DE ZINC : 0,5 g pour 100 ml de gel ; CHLORHYDRATE DE LIDOCAÏNE : 0,6 g pour 100 ml de gel, gel, 1 tube de 15 ml";3400936377554
DUTASTERIDE VIATRIS 0,5 mg, capsule molle, DUTASTÉRIDE : 0,5 mg pour une capsule, capsule molle, plaquette de 30 capsules;3400930168592
GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion, GLUCOSE MONOHYDRATÉ : 16,5 g pour 100 ml de solution pour perfusion, solution pour perfusion, 1 flacon de 500 ml;3400932363704
GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion, GLUCOSE MONOHYDRATÉ : 16,5 g pour 100 ml de solution pour perfusion, solution pour perfusion, 1 flacon de 1000 ml;3400932363872
"PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé, PARACÉTAMOL : 500 mg pour un comprimé ; PHOSPHATE DE CODÉINE HÉMIHYDRATÉ : 30 mg pour un comprimé, comprimé pelliculé, plaquette de 16 comprimés";3400930167298
"PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé, PARACÉTAMOL : 500 mg pour un comprimé ; PHOSPHATE DE CODÉINE HÉMIHYDRATÉ : 30 mg pour un comprimé, comprimé pelliculé, plaquette de sécurité enfant de 16 comprimés";3400930167304
THIOPENTAL VUAB 500 mg, poudre pour solution injectable, THIOPENTAL ET CARBONATE SODIQUES, poudre pour solution injectable, 1 flacon de 20 mL;3400955060598
CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85 %), solution à diluer pour perfusion, CHLORURE DE SODIUM : 5,85 g pour 100 ml, solution à diluer pour perfusion, 20 ampoule de 20 ml;3400936694651
CIPROFLOXACINE CRISTERS PHARMA 250 mg, comprimé pelliculé, CHLORHYDRATE DE CIPROFLOXACINE, comprimé pelliculé, plaquette de 12 comprimés;3400938093346
TERLOMEXIN 200 mg, capsule molle vaginale, NITRATE DE FENTICONAZOLE : 200 mg pour une capsule, capsule molle, plaquette de 3 capsules;3400933783310
"FAMENPAX, comprimé orodispersible, NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (4 DH) pour un comprimé ; BORAX : 5 mg (4 DH) pour un comprimé ; ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (6 DH) pour un comprimé ; TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (8 DH) pour un comprimé ; SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (6 DH) pour un comprimé ; COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (8 DH) pour un comprimé, comprimé orodispersible, 2 plaquette de 20 comprimés";3400926617110
