CIS;CIS_Denomination;CIS_Forme_pharmaceutique;CIS_Voies_administration;CIS_Statut_AMM;CIS_Type_procedure_AMM;CIS_Etat_commercialisation;CIS_Date_AMM;CIS_StatutBdm;CIS_Numero_AMM_europeenne;CIS_Titulaires;CIS_Surveillance_renforcee;CIP_CIS;CIP_CIP7;CIP_Libelle_presentation;CIP_Statut_presentation;CIP_Etat_commercialisation;CIP_Date_declaration_commercialisation;CIP_CIP13;CIP_Agrement_collectivites;CIP_Taux_remboursement;CIP_Prix_medicament_euro;CIP_Prix_public_France_euro;CIP_Honoraires_dispensation_euro;CIP_Indications_remboursement;compo_dosage_texte
60002283;ANASTROZOLE ACCORD 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;28/10/2010;;;ACCORD HEALTHCARE FRANCE;Non;60002283;4949729;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;16/03/2011;3400949497294;oui;100%;24,34;25,36;1,02;;ANASTROZOLE : 1,00 mg pour un comprimé
60002283;ANASTROZOLE ACCORD 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;28/10/2010;;;ACCORD HEALTHCARE FRANCE;Non;60002283;4949770;plaquette de 90 comprimés;Présentation active;Déclaration de commercialisation;19/09/2011;3400949497706;oui;100%;68,68;71,44;2,76;;ANASTROZOLE : 1,00 mg pour un comprimé
60003620;BECLOSPIN 800 microgrammes/2ml suspension pour inhalation par nébuliseur;suspension pour inhalation par nébuliseur;inhalée;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;06/01/2006;;;CHIESI;Non;60003620;3696350;20 récipient unidose de 2 ml suremballées/surpochées par plaquette de 5 récipients unidoses;Présentation active;Déclaration de commercialisation;30/11/2006;3400936963504;oui;65%;12,81;13,83;1,02;"Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Asthme persistant sévère de l¿enfant (en traitement quotidien).  ; JOURNAL OFFICIEL ; 24/11/06";DIPROPIONATE DE BÉCLOMÉTASONE : 800 microgrammes pour 2 ml de suspension
60004277;FENOFIBRATE TEVA 100 mg, gélule;gélule;orale;Autorisation active;Procédure nationale;Commercialisée;06/12/1996;;;TEVA SANTE;Non;60004277;3614582;plaquette de 30 gélules;Présentation active;Déclaration de commercialisation;11/06/2003;3400936145825;oui;65%;1,54;2,56;1,02;;FÉNOFIBRATE : 100,00 mg pour une gélule
60004487;TRAMADOL EG L.P. 200 mg, comprimé à libération prolongée;comprimé à libération prolongée;orale;Autorisation active;Procédure nationale;Commercialisée;07/09/2009;;;EG LABO - LABORATOIRES EUROGENERICS;Non;60004487;3972519;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;12/12/2011;3400939725192;oui;65%;8,88;9,90;1,02;;CHLORHYDRATE DE TRAMADOL : 200 mg pour un comprimé
60004505;CABAZITAXEL REDDY PHARMA 60 mg, solution à diluer et solvant pour solution pour perfusion;solution à diluer et  solvant pour solution pour perfusion;intraveineuse;Autorisation abrogée;Procédure décentralisée;Non commercialisée;18/06/2020;Warning disponibilité;;REDDY PHARMA;Non;60004505;5507419;1 flacon de 1,5 ml - 1 flacon en verre de 4,5 ml;Présentation active;Déclaration d'arrêt de commercialisation;31/12/2023;3400955074199;non;;;;;;CABAZITAXEL : 60 mg pour un flacon de 1,5 mL de solution à dilue
60004932;VILDAGLIPTINE/METFORMINE SANDOZ 50 mg/1000 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;27/10/2017;;;SANDOZ;Non;60004932;3011679;plaquette de 60 comprimés;Présentation active;Déclaration de commercialisation;21/11/2022;3400930116791;oui;15 %;8,25;9,27;1,02;;"CHLORHYDRATE DE METFORMINE : 1000 mg pour un comprimé ; VILDAGLIPTINE : 50 mg pour un comprimé"
60005856;FAMOTIDINE EG 20 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;22/12/1999;;;EG LABO - LABORATOIRES EUROGENERICS;Non;60005856;3551025;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;25/03/2004;3400935510259;oui;15%;7,82;8,84;1,02;;FAMOTIDINE : 20 mg pour un comprimé
60007437;ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Non commercialisée;22/11/2010;Warning disponibilité;;TEVA SANTE;Non;60007437;4944413;plaquette de 28 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;31/07/2025;3400949444137;oui;65%;2,99;4,01;1,02;;ATORVASTATINE CALCIQUE
60007437;ATORVASTATINE TEVA SANTE 40 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Non commercialisée;22/11/2010;Warning disponibilité;;TEVA SANTE;Non;60007437;4944494;plaquette de 90 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;31/07/2025;3400949444946;oui;65%;9,04;11,80;2,76;;ATORVASTATINE CALCIQUE
60007960;AFTAGEL, gel buccal;gel;voie buccale autre;Autorisation active;Procédure nationale;Commercialisée;06/08/1996;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);Non;60007960;3637755;1 tube de 15 ml;Présentation active;Déclaration de commercialisation;04/04/2005;3400936377554;non;;;;;;"SULFATE DE ZINC : 0,5 g pour 100 ml de gel ; CHLORHYDRATE DE LIDOCAÏNE : 0,6 g pour 100 ml de gel"
60008724;DUTASTERIDE VIATRIS 0,5 mg, capsule molle;capsule molle;orale;Autorisation active;Procédure décentralisée;Commercialisée;20/12/2018;;;VIATRIS SANTE;Non;60008724;3016859;plaquette de 30 capsules;Présentation active;Déclaration de commercialisation;25/08/2021;3400930168592;oui;30 %;7,23;8,25;1,02;;DUTASTÉRIDE : 0,5 mg pour une capsule
60008845;GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion;solution pour perfusion;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;05/03/1998;;;FRESENIUS KABI FRANCE;Non;60008845;3236370;1 flacon de 500 ml;Présentation active;Déclaration de commercialisation;19/05/1964;3400932363704;oui;65%;1,69;2,71;1,02;;GLUCOSE MONOHYDRATÉ : 16,5 g pour 100 ml de solution pour perfusion
60008845;GLUCOSE BIOSEDRA 15 POUR CENT, solution pour perfusion;solution pour perfusion;intraveineuse;Autorisation active;Procédure nationale;Commercialisée;05/03/1998;;;FRESENIUS KABI FRANCE;Non;60008845;3236387;1 flacon de 1000 ml;Présentation active;Déclaration de commercialisation;19/05/1964;3400932363872;oui;65%;2,64;3,66;1,02;;GLUCOSE MONOHYDRATÉ : 16,5 g pour 100 ml de solution pour perfusion
60009573;PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Non commercialisée;05/12/2018;Warning disponibilité;;TEVA (PAYS-BAS);Non;60009573;3016729;plaquette de 16 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;04/10/2024;3400930167298;non;65 %;1,72;2,74;1,02;;"PARACÉTAMOL : 500 mg pour un comprimé ; PHOSPHATE DE CODÉINE HÉMIHYDRATÉ : 30 mg pour un comprimé"
60009573;PARACETAMOL/CODEINE TEVA 500 mg/30 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Non commercialisée;05/12/2018;Warning disponibilité;;TEVA (PAYS-BAS);Non;60009573;3016730;plaquette de sécurité enfant de 16 comprimés;Présentation active;Déclaration d'arrêt de commercialisation;28/06/2021;3400930167304;non;65 %;1,72;2,74;1,02;;"PARACÉTAMOL : 500 mg pour un comprimé ; PHOSPHATE DE CODÉINE HÉMIHYDRATÉ : 30 mg pour un comprimé"
60010084;THIOPENTAL VUAB 500 mg, poudre pour solution injectable;poudre pour solution injectable;intraveineuse;Autorisation active;Procédure nationale;Non commercialisée;28/11/2018;Warning disponibilité;;VUAB PHARMA;Non;60010084;5506059;1 flacon de 20 mL;Présentation active;Déclaration d'arrêt de commercialisation;31/01/2022;3400955060598;non;;;;;;THIOPENTAL ET CARBONATE SODIQUES
60010166;CHLORURE DE SODIUM PROAMP 0,0585 g/ml (5,85 %), solution à diluer pour perfusion;solution à diluer pour perfusion;intraveineuse;Autorisation active;Procédure de reconnaissance mutuelle;Commercialisée;02/09/2005;;;AGUETTANT;Non;60010166;3669465;20 ampoule de 20 ml;Présentation active;Déclaration de commercialisation;03/04/2006;3400936694651;oui;;;;;;CHLORURE DE SODIUM : 5,85 g pour 100 ml
60010885;CIPROFLOXACINE CRISTERS PHARMA 250 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure nationale;Commercialisée;06/07/2007;;;CRISTERS;Non;60010885;3809334;plaquette de 12 comprimés;Présentation active;Déclaration de commercialisation;14/04/2009;3400938093346;oui;65%;6,56;7,58;1,02;;CHLORHYDRATE DE CIPROFLOXACINE
60010967;TERLOMEXIN 200 mg, capsule molle vaginale;capsule molle;vaginale;Autorisation active;Procédure nationale;Commercialisée;12/10/1994;;;EFFIK;Non;60010967;3378331;plaquette de 3 capsules;Présentation active;Déclaration de commercialisation;19/01/1997;3400933783310;oui;30%;3,17;4,19;1,02;;NITRATE DE FENTICONAZOLE : 200 mg pour une capsule
60014894;FAMENPAX, comprimé orodispersible;comprimé orodispersible;sublinguale;Autorisation active;Procédure nationale;Commercialisée;20/09/2012;;;LEHNING;Non;60014894;2661711;2 plaquette de 20 comprimés;Présentation active;Déclaration de commercialisation;10/03/2015;3400926617110;non;;;;;;"NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (4 DH) pour un comprimé ; BORAX : 5 mg (4 DH) pour un comprimé ; ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (6 DH) pour un comprimé ; TABACUM POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (8 DH) pour un comprimé ; SEPIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (6 DH) pour un comprimé ; COCCULUS INDICUS POUR PRÉPARATIONS HOMÉOPATHIQUES : 5 mg (8 DH) pour un comprimé"
60015882;MIRTAZAPINE BIOGARAN 15 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;20/09/2023;;;BIOGARAN;Non;60015882;3027598;plaquette de 30 comprimés;Présentation active;Déclaration de commercialisation;10/02/2025;3400930275986;oui;65 %;2,88;3,90;1,02;;MIRTAZAPINE : 15 mg pour un comprimé
60016308;CARVEDILOL VIATRIS 25 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;13/02/2006;;;VIATRIS SANTE;Non;60016308;3740594;plaquette de 28 comprimés;Présentation active;Déclaration de commercialisation;30/10/2006;3400937405942;oui;65%;4,23;5,25;1,02;;CARVÉDILOL : 25 mg pour un comprimé
60016589;LEVOCARNIL 1 g/5 ml, solution injectable en ampoule;solution injectable;"intramusculaire;intraveineuse";Autorisation active;Procédure nationale;Commercialisée;11/01/1988;;;ALFASIGMA FRANCE;Non;60016589;3657120;5 ampoule de 5 ml;Présentation active;Déclaration de commercialisation;01/02/2006;3400936571204;oui;65%;6,04;7,06;1,02;;LÉVOCARNITINE : 1000 mg pour une ampoule
60018088;LYRICA 300 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;06/07/2004;;EU/1/04/279;UPJOHN (PAYS-BAS);Non;60018088;3651330;plaquette de 56 gélules;Présentation active;Déclaration de commercialisation;13/06/2006;3400936513303;oui;65%;20,58;21,60;1,02;;PRÉGABALINE : 300 mg pour une gélule
60018088;LYRICA 300 mg, gélule;gélule;orale;Autorisation active;Procédure centralisée;Commercialisée;06/07/2004;;EU/1/04/279;UPJOHN (PAYS-BAS);Non;60018088;5658201;100 plaquette de 1 gélule;Présentation active;Déclaration d'arrêt de commercialisation;30/06/2023;3400956582013;non;;;;;;PRÉGABALINE : 300 mg pour une gélule
60018444;ENTECAVIR TEVA 1 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;15/12/2017;;;TEVA SANTE;Non;60018444;3010100;30 plaquette de 1 comprimé;Présentation active;Déclaration de commercialisation;06/01/2021;3400930101001;oui;65 %;131,70;132,72;1,02;;ENTÉCAVIR MONOHYDRATÉ
60018896;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;13/08/2014;;;TEVA SANTE;Non;60018896;2794381;pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;08/01/2015;3400927943812;oui;65%;3,64;4,66;1,02;;TOSILATE DE PÉRINDOPRIL : 10 mg pour un comprimé
60018896;PERINDOPRIL TOSILATE TEVA 10 mg, comprimé pelliculé;comprimé pelliculé;orale;Autorisation active;Procédure décentralisée;Commercialisée;13/08/2014;;;TEVA SANTE;Non;60018896;2794412;3 pilulier(s) polypropylène de 30 comprimé(s);Présentation active;Déclaration de commercialisation;08/01/2015;3400927944123;oui;65%;10,53;13,29;2,76;;TOSILATE DE PÉRINDOPRIL : 10 mg pour un comprimé
60019101;OPTICRON 2 POUR CENT, collyre;collyre;ophtalmique;Autorisation active;Procédure nationale;Commercialisée;06/10/1983;;;COOPER (ABRÉGÉ DE COOPERATION PHARMACEUTIQUE FRANCAISE);Non;60019101;3202980;1 flacon de 5 ml;Présentation active;Déclaration de commercialisation;19/02/1979;3400932029808;oui;30%;2,46;3,48;1,02;;CROMOGLICATE DE SODIUM : 2 g pour 100 ml
60019329;DOXYLAMINE CRISTERS 15 mg, comprimé pelliculé sécable;comprimé pelliculé sécable;orale;Autorisation active;Procédure nationale;Commercialisée;22/12/2016;;;CRISTERS;Non;60019329;3007651;1 tube de 10 comprimés;Présentation active;Déclaration de commercialisation;11/05/2017;3400930076514;non;;;;;;HYDROGÉNOSUCCINATE DE DOXYLAMINE : 15 mg pour un comprimé
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3002077;1 tube de 120 g;Présentation active;Déclaration d'arrêt de commercialisation;30/04/2023;3400930020777;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3014251;1 tube de 45 g;Présentation active;Déclaration de commercialisation;18/02/2019;3400930142516;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3019984;1 tube de 45 g;Présentation active;Déclaration de commercialisation;26/10/2020;3400930199848;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3019985;1 tube de 120 g;Présentation active;Déclaration de commercialisation;14/12/2020;3400930199855;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
60019350;ARNIGEL, gel;gel;cutanée;Autorisation active;Procédure nationale;Commercialisée;18/01/2002;;;BOIRON;Non;60019350;3025769;12 sachet de 2 g;Présentation active;Déclaration de commercialisation;26/06/2023;3400930257692;non;;;;;;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES : 7 g (Teinture mère) pour 100 g de gel
