nom,adresse,latitude,longitude,telephone,email,site_web,url
Centre hospitalier régional (CHR) - Metz-Thionville,,49.08412,6.243648,0387553131,dg-secretariat@chr-metz-thionville.fr,,https://lannuaire.service-public.gouv.fr/grand-est/moselle/6966f8f9-71bc-4984-9ad4-72cbf2be5b57
Centre hospitalier régional (CHR) - Orléans,,47.836864,1.923709,0238514444,,,https://lannuaire.service-public.gouv.fr/centre-val-de-loire/loiret/07c952b1-30ad-4ebd-9103-9dda1b8b5b91
Centre hospitalier régional universitaire (CHRU) - Besançon,,47.23479,6.020665,0381668166,,,https://lannuaire.service-public.gouv.fr/bourgogne-franche-comte/doubs/bf8c11aa-f224-466a-9f31-faa4d9fa136f
Centre hospitalier régional universitaire (CHRU) - Brest,,48.392807,-4.486178,0298223333,,,https://lannuaire.service-public.gouv.fr/bretagne/finistere/7f2e0d6a-2029-4536-8aeb-3b185a2776f5
Centre hospitalier régional universitaire (CHRU) - Lille,,50.610027,3.037679,0320445962,,,https://lannuaire.service-public.gouv.fr/hauts-de-france/nord/52bafb88-4be1-45ed-88dc-ea96cef41bdd
Centre hospitalier régional universitaire (CHRU) - Nancy,,48.685184,6.192023,0383858585,communication@chru-nancy.fr,,https://lannuaire.service-public.gouv.fr/grand-est/meurthe-et-moselle/970d7614-1f3d-4013-a49c-eef3304b6afe
Centre hospitalier universitaire (CHU) - Amiens-Picardie,,49.907295,2.290168,0322088000,chu@chu-amiens.fr,,https://lannuaire.service-public.gouv.fr/hauts-de-france/somme/b48a9186-65ac-480c-af75-b31d623aebfb
Centre hospitalier universitaire (CHU) - Angers,,47.481407,-0.556171,0241353637,,,https://lannuaire.service-public.gouv.fr/pays-de-la-loire/maine-et-loire/2ff15efd-f654-4804-b790-1bb4c3ce002f
Centre hospitalier universitaire (CHU) - Assistance publique - Hôpitaux de Marseille,,43.290997,5.393862,0491380000,,,https://lannuaire.service-public.gouv.fr/provence-alpes-cote-d-azur/bouches-du-rhone/9286af69-2107-49e1-ac55-226fdc153470
Centre hospitalier universitaire (CHU) - Assistance publique - Hôpitaux de Paris (AP-HP),,48.850533,2.382187,0140273000,06communication.institutionnelle@sap.aphp.fr,,https://lannuaire.service-public.gouv.fr/ile-de-france/paris/bec0760f-c0b9-4c72-979f-fecf50de9320
