code à 7 chiffres;libellé;url
1100028;EMULSION HYALURONATE SODIUM 0,18 POUR CENT HORUS,NEOVIS TOTAL MULTI,FLACON 15 ML;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1100028&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1100086;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,HARTMANN;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1100086&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1100235;COLOSTOMIE, SET POUR IRRIGATION COLIQUE,B.BRAUN MEDICAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1100235&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1100413;NUT. ENTERALE, ADULTE, MEL POLY NORMOPROT. HE, 500 ML,NUTRICIA;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1100413&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101565;ACCESSOIRES, PATE PROTECTION PERISTOMIALE, TUBE OU BARRETTES 60G,LABO CONVATEC;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101565&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101720;AUTOCONTROLE, APP POUR LECTURE AUTOMATIQUE GLYCEMIE,B.BRAUN MEDICAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101720&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101795;SOLUTE DE REHYDRATATION ORALE, LE CONDITIONNEMENT,ALTER;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101795&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101803;BOUTON DE GASTROSTOMIE, PROLONGATEUR ADAPTABLE, RENOUVELLEMENT,HOIST MEDICAL;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101803&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101826;AUTOCONTROLE, 100 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,SANOFI-AVENTIS;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101826&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1101909;ALIMENT SANS GLUTEN, FARINE, 100 G,NUTRITION-SANTE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1101909&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1102375;NUTRITION ENTERALE, NUTRICIA, NUTRIMENT STANDARD, NUTRISON PAEDIATRIC MULTIFIBRE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1102375&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1102777;NUT. ORALE, HYDROLYSAT PROT, ENFANT, PDR, 15 RATIONS 200 ML,MEAD JOHNSON;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1102777&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1103216;NUT. ENTERALE, SONDE GASTROSTOMIE OU JEJUNOSTOMIE, RENOUV,MYHOMECARE;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1103216&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1104612;ALIMENT SANS GLUTEN, PATES, 500 G,ALDINO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1104612&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1104776;AUTOCONTROLE, 200 LANCETTES POUR AUTOPIQUEUR NON REUTILIS STERI,BIOGINE FARMA;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1104776&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1105570;GILET DE SERIE CONTENTION ET IMMOBILISATION SCAPULO-HUMERALE,ACTIV ' ORTHO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1105570&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
1105899;NEUROSTIMULATION ELECTRIQUE TRANSCUTANEE, ELECTRODES SOUPLES,FLOWSTIM TECHNO;http://www.codage.ext.cnamts.fr/cgi/tips/cgi-fiche?p_code_tips=1105899&p_date_jo_arrete=%25&p_menu=FICHE&p_site=AMELI
