formule;composition;forme;contenance;eh;indisponible;date_maj
W169;ACTAEA RACEMOSA DECOCTE 15 DH, CAULOPHYLLUM THALICTROIDES 6 DH, GELSEMIUM SEMPERVIRENS DECOCTE 6 DH, IGNATIA AMARA 6 DH, PULSATILLA 6 DH;Granules;4 g;EH02250;;12/12/2025
W171;ACTAEA RACEMOSA DECOCTE 4 DH, ARNICA MONTANA 6 DH, CAULOPHYLLUM THALICTROIDES 4 DH, GELSEMIUM SEMPERVIRENS DECOCTE 6 DH, PULSATILLA 6 DH;Granules;4 g;EH02251;;12/12/2025
W244;ANTIMONIUM METALLICUM 8 DH, AURUM METALLICUM 10 DH;Poudre orale;30 g;EH02199;;12/12/2025
W250;ANTIMONIUM METALLICUM 6 DH, AURUM METALLICUM 10 DH, HYOSCYAMUS NIGER 5 DH;Solution buvable en gouttes;60 ml;EH01503;;12/12/2025
W278;ANTIMONIUM METALLICUM 6 DH, MARBRE 6 DH;Poudre orale;30 g;EH02211;x;12/12/2025
W282;APATITE 6 DH, AURUM METALLICUM 15 DH, STANNUM METALLICUM 10 DH;Poudre orale;30 g;EH02232;;12/12/2025
W146;APIS MELLIFICA 8 DH, AURUM MURIATICUM NATRONATUM 7 DH, AVENA SATIVA 4 DH, HYPERICUM PERFORATUM 4 DH, IGNATIA AMARA 5 DH, PHOSPHORICUM ACIDUM 5 DH;Granules;4 g;EH01546;;12/12/2025
W146;APIS MELLIFICA 8 DH, AURUM MURIATICUM NATRONATUM 7 DH, AVENA SATIVA 4 DH, HYPERICUM PERFORATUM 4 DH, IGNATIA AMARA 5 DH, PHOSPHORICUM ACIDUM 5 DH;Solution buvable en gouttes;60 ml;EH01546;;12/12/2025
W306;APIS MELLIFICA 8 DH, BELLADONNA 4 DH;Granules;4 g;EH01506;;12/12/2025
W314;APIS MELLIFICA 8 DH, BELLADONNA 6 DH, KALIUM BICHROMICUM 10 DH, MERCURIUS SOLUBILIS 15 DH, PHYTOLACCA DECANDRA RADIX 5 DH;Granules;4 g;EH02217;x;12/12/2025
W350;ARGENTUM METALLICUM 20 DH, ARNICA MONTANA 20 DH, BAMBUSA 6 DH, DISQUES VERTEBRAUX 8 DH, FORMICA RUFA 8 DH;Granules;4 g;EH02278;x;12/12/2025
W358;ARGENTUM METALLICUM 20 DH, BERBERIS VULGARIS FRUCTUS 4 DH, SILICEA NATURALE (QUARTZ) 12 DH;Solution buvable en gouttes;60 ml;EH02227;;12/12/2025
W358;ARGENTUM METALLICUM 20 DH, BERBERIS VULGARIS FRUCTUS 4 DH, SILICEA NATURALE (QUARTZ) 12 DH;Granules;4 g;EH02227;;12/12/2025
W366;ARGENTUM METALLICUM 30 DH, ECHINACEA ANGUSTIFOLIA 6 DH;Solution buvable en gouttes;60 ml;EH02228;;12/12/2025
W366;ARGENTUM METALLICUM 30 DH, ECHINACEA ANGUSTIFOLIA 6 DH;Granules;4 g;EH02228;;12/12/2025
W374;ARGENTUM NITRICUM 21 DH, BELLADONNA 15 DH, SILICEA NATURALE (QUARTZ) 22 DH;Solution buvable en gouttes;60 ml;EH02213;;12/12/2025
W374;ARGENTUM NITRICUM 21 DH, BELLADONNA 15 DH, SILICEA NATURALE (QUARTZ) 22 DH;Granules;4 g;EH02213;;12/12/2025
W436;ARSENICUM ALBUM 10 DH, BELLADONNA 6 DH, BRYONIA 4 DH, GELSEMIUM SEMPERVIRENS DECOCTE 4 DH, PHOSPHORUS 10 DH;Solution buvable en gouttes;60 ml;EH02226;;12/12/2025
W436;ARSENICUM ALBUM 10 DH, BELLADONNA 6 DH, BRYONIA 4 DH, GELSEMIUM SEMPERVIRENS DECOCTE 4 DH, PHOSPHORUS 10 DH;Granules;4 g;EH02226;;12/12/2025
W442;AURUM METALLICUM 10 DH, BELLADONNA 10 DH, HYOSCYAMUS NIGER 10 DH;Solution buvable en gouttes;60 ml;EH01364;x;12/12/2025
W462;AURUM METALLICUM 10 DH, EQUISETUM ARVENSE DECOCTE 8 DH;Solution buvable en gouttes;60 ml;EH02258;;12/12/2025
W464;AURUM METALLICUM 10 DH, FERRUM SIDEREUM 10 DH;Solution buvable en gouttes;60 ml;EH02201;;12/12/2025
W472;AURUM METALLICUM 30 DH, MYRRHA 6 DH, OLIBANUM 12 DH;Solution buvable en gouttes;60 ml;EH02209;;12/12/2025
W472;AURUM METALLICUM 30 DH, MYRRHA 6 DH, OLIBANUM 12 DH;Granules;4 g;EH02209;;12/12/2025
W582;BRYONIA 4 DH, STANNUM METALLICUM 10 DH;Solution buvable en gouttes;60 ml;EH02202;;12/12/2025
W584;BRYOPHYLLUM CALYCINUM 5 DH, CALCAREA CARBONICA OSTREARUM 8 DH;Granules;4 g;EH02215;;12/12/2025
W724;CUPRUM ACETICUM 4 DH, ZINCUM VALERIANICUM 4 DH;Granules;4 g;EH02248;;12/12/2025
W770;FERRUM PHOSPHORICUM 6 DH, FERRUM SIDEREUM 10 DH, PRUNUS SPINOSA 4 DH;Solution buvable en gouttes;60 ml;EH02216;;12/12/2025
W771;FERRUM PHOSPHORICUM 6 DH, KALIUM MURIATICUM 6 DH, MERCURIUS DULCIS 7 DH;Poudre orale;30 g;EH02246;x;12/12/2025
W788;FERRUM SIDEREUM 10 DH, PHOSPHORUS 8 DH, SILICEA NATURALE (QUARTZ) 12 DH;Solution buvable en gouttes;60 ml;EH02222;;12/12/2025
W796;FORMICA RUFA 8 DH, FORMICA RUFA 15 DH, FORMICA RUFA 30 DH;Solution buvable en gouttes;60 ml;EH02220;x;12/12/2025
W858;FERRUM METALLICUM 8 DH, HYPERICUM PERFORATUM 4 DH, LEVICO 4 DH, PRUNUS SPINOSA 4 DH;Granules;4 g;EH02212;x;12/12/2025
W876;LOBELIA INFLATA 6 DH, PLUMBUM METALLICUM 8 DH, QUERCUS DECOCTE 4 DH, VERONICA OFFICINALIS DECOCTE 4 DH;Solution buvable en gouttes;60 ml;EH02260;;12/12/2025
W876;LOBELIA INFLATA 6 DH, PLUMBUM METALLICUM 8 DH, QUERCUS DECOCTE 4 DH, VERONICA OFFICINALIS DECOCTE 4 DH;Granules;4 g;EH02260;;12/12/2025
