designation;forme;contenance;eh;indisponible;date_maj
ACONITUM NAPELLUS D6;Granules;4 g;EH00232;x;12/12/2025
ACONITUM NAPELLUS D15;Granules;4 g;EH00232;;12/12/2025
ACONITUM NAPELLUS D30;Granules;4 g;EH00232;;12/12/2025
ACTAEA RACEMOSA DECOCTE D4;Solution buvable en gouttes;60 ml;EH01196;;12/12/2025
ACTAEA RACEMOSA DECOCTE D15;Granules;4 g;EH01196;;12/12/2025
AGARICUS MUSCARIUS D10;Solution buvable en gouttes;60 ml;EH00244;;12/12/2025
AMBRA GRISEA D15;Granules;4 g;EH00075;;12/12/2025
AMBRA GRISEA D30;Granules;4 g;EH00075;;12/12/2025
ANTIMONIUM METALLICUM D6;Poudre orale;30 g;EH01273;;12/12/2025
ANTIMONIUM METALLICUM D8;Solution buvable en gouttes;60 ml;EH01273;;12/12/2025
ANTIMONIUM METALLICUM D10;Granules;4 g;EH01273;;12/12/2025
ANTIMONIUM METALLICUM D15;Granules;4 g;EH01273;;12/12/2025
ANTIMONIUM TARTARICUM D6;Granules;4 g;EH00231;x;12/12/2025
ANTIMONIUM TARTARICUM D10;Granules;4 g;EH00231;x;12/12/2025
APATITE D8;Granules;4 g;EH01275;;12/12/2025
APIS MELLIFICA D10;Granules;4 g;EH00230;;12/12/2025
APIS MELLIFICA D15;Granules;4 g;EH00230;;12/12/2025
APIS MELLIFICA D20;Solution buvable en gouttes;60 ml;EH00230;;12/12/2025
APIS MELLIFICA D30;Granules;4 g;EH00230;x;12/12/2025
ARGENTUM METALLICUM D8;Solution buvable en gouttes;60 ml;EH00076;;12/12/2025
ARGENTUM METALLICUM D10;Granules;4 g;EH00076;;12/12/2025
ARGENTUM METALLICUM D20;Solution buvable en gouttes;60 ml;EH00076;;12/12/2025
ARGENTUM METALLICUM D30;Granules;4 g;EH00076;x;12/12/2025
ARGENTUM NITRICUM D6;Granules;4 g;EH00217;;12/12/2025
ARGENTUM NITRICUM D15;Granules;4 g;EH00217;;12/12/2025
ARGENTUM NITRICUM D20;Solution buvable en gouttes;60 ml;EH00217;;12/12/2025
ARGENTUM NITRICUM D30;Granules;4 g;EH00217;;12/12/2025
ARNICA MONTANA D6;Granules;4 g;EH00222;;12/12/2025
ARNICA MONTANA D6;Solution buvable en gouttes;60 ml;EH00222;;12/12/2025
ARNICA MONTANA D10;Granules;4 g;EH00222;;12/12/2025
ARNICA MONTANA D15;Granules;4 g;EH00222;;12/12/2025
ARNICA MONTANA D30;Granules;4 g;EH00222;;12/12/2025
ARNICA MONTANA RADIX D10;Granules;4 g;EH01279;;12/12/2025
ARNICA MONTANA RADIX D20;Solution buvable en gouttes;60 ml;EH01279;x;12/12/2025
ARNICA MONTANA RADIX D30;Granules;4 g;EH01279;;12/12/2025
ARSENICUM ALBUM D10;Granules;4 g;EH00219;;12/12/2025
ARSENICUM ALBUM D15;Granules;4 g;EH00219;;12/12/2025
ARSENICUM ALBUM D30;Granules;4 g;EH00219;x;12/12/2025
AURUM METALLICUM D8;Solution buvable en gouttes;60 ml;EH00212;;12/12/2025
AURUM METALLICUM D10;Granules;4 g;EH00212;;12/12/2025
AURUM METALLICUM D15;Granules;4 g;EH00212;;12/12/2025
AURUM METALLICUM D20;Solution buvable en gouttes;60 ml;EH00212;;12/12/2025
AURUM METALLICUM D30;Granules;4 g;EH00212;;12/12/2025
BELLADONNA D6;Granules;4 g;EH00133;;12/12/2025
BELLADONNA D6;Solution buvable en gouttes;60 ml;EH00133;;12/12/2025
BELLADONNA D10;Granules;4 g;EH00133;;12/12/2025
BELLADONNA D15;Granules;4 g;EH00133;;12/12/2025
BELLADONNA D30;Granules;4 g;EH00133;;12/12/2025
BRYONIA D6;Granules;4 g;EH00237;;12/12/2025
BRYONIA D10;Granules;4 g;EH00237;;12/12/2025
BRYOPHYLLUM CALYCINUM D6;Granules;4 g;EH01348;;12/12/2025
CALCAREA CARBONICA OSTREARUM D10;Granules;4 g;EH00256;;12/12/2025
CALCAREA CARBONICA OSTREARUM D15;Granules;4 g;EH00256;;12/12/2025
CALCAREA CARBONICA OSTREARUM D30;Granules;4 g;EH00256;;12/12/2025
CARBO VEGETABILIS D6;Granules;4 g;EH00254;;12/12/2025
CARBO VEGETABILIS D30;Granules;4 g;EH00254;;12/12/2025
CARTILAGO D8;Solution buvable en gouttes;60 ml;EH01440;;12/12/2025
CHAMOMILLA VULGARIS D6;Granules;4 g;EH00263;x;12/12/2025
CHAMOMILLA VULGARIS D15;Granules;4 g;EH00263;;12/12/2025
CHAMOMILLA VULGARIS D30;Granules;4 g;EH00263;;12/12/2025
CHAMOMILLA VULGARIS RADIX DECOCTE D6;Granules;4 g;EH01449;x;12/12/2025
CHAMOMILLA VULGARIS RADIX DECOCTE D20;Solution buvable en gouttes;60 ml;EH01449;;12/12/2025
CHRYSOLITHE D12;Solution buvable en gouttes;60 ml;EH02221;;12/12/2025
CHRYSOLITHE D30;Solution buvable en gouttes;60 ml;EH02221;;12/12/2025
CINABRE D20;Poudre orale;30 g;EH02191;;12/12/2025
COCCULUS INDICUS D15;Granules;4 g;EH00414;;12/12/2025
COFFEA TOSTA D15;Granules;4 g;EH01484;;12/12/2025
COFFEA TOSTA D30;Granules;4 g;EH01484;;12/12/2025
COFFEA TOSTA D60;Granules;4 g;EH01484;;12/12/2025
COLCHICUM AUTUMNALE DIGESTE D6;Solution buvable en gouttes;60 ml;EH01485;;12/12/2025
CUPRUM METALLICUM D8;Solution buvable en gouttes;60 ml;EH00423;;12/12/2025
CUPRUM METALLICUM D10;Granules;4 g;EH00423;;12/12/2025
CUPRUM METALLICUM D15;Granules;4 g;EH00423;;12/12/2025
CUPRUM METALLICUM D30;Granules;4 g;EH00423;;12/12/2025
ECHINACEA ANGUSTIFOLIA D6;Granules;4 g;EH00513;;12/12/2025
EQUISETUM ARVENSE DECOCTE D15;Granules;4 g;EH01521;;12/12/2025
FERRUM METALLICUM D8;Solution buvable en gouttes;60 ml;EH00518;;12/12/2025
